State,Adult obesity,Limited access to healthy foods
NC,0.341,0.113
NC,0.332,0.113
NC,0.272,0.023
NC,0.283,0.023
NC,0.247,0.014
NC,0.235,0.014
NC,0.346,0.031
NC,0.351,0.031
NC,0.225,0.025
NC,0.243,0.025
NC,0.289,0.0
NC,0.257,0.0
NC,0.343,0.051
NC,0.319,0.051
NC,0.35,0.047
NC,0.352,0.047
NC,0.361,0.032
NC,0.357,0.032
NC,0.295,0.048
NC,0.291,0.048
NC,0.236,0.086
NC,0.236,0.086
NC,0.288,0.122
NC,0.31,0.122
NC,0.309,0.058
NC,0.293,0.058
NC,0.295,0.157
NC,0.293,0.157
NC,0.302,0.01
NC,0.313,0.01
NC,0.29,0.07
NC,0.281,0.07
NC,0.325,0.061
NC,0.339,0.061
NC,0.284,0.099
NC,0.285,0.099
NC,0.257,0.035
NC,0.256,0.035
NC,0.275,0.001
NC,0.289,0.001
NC,0.3,0.074
NC,0.316,0.074
NC,0.258,0.016
NC,0.264,0.016
NC,0.302,0.056
NC,0.292,0.056
NC,0.321,0.014
NC,0.315,0.014
NC,0.319,0.062
NC,0.304,0.062
NC,0.338,0.128
NC,0.311,0.128
NC,0.292,0.028
NC,0.305,0.028
NC,0.281,0.099
NC,0.278,0.099
NC,0.29,0.064
NC,0.299,0.064
NC,0.281,0.027
NC,0.265,0.027
NC,0.361,0.008
NC,0.34,0.008
NC,0.294,0.062
NC,0.288,0.062
NC,0.37,0.095
NC,0.397,0.095
NC,0.26,0.12
NC,0.259,0.12
NC,0.334,0.022
NC,0.325,0.022
NC,0.273,0.107
NC,0.312,0.107
NC,0.328,0.0
NC,0.343,0.0
NC,0.295,0.017
NC,0.295,0.017
NC,0.302,0.027
NC,0.333,0.027
NC,0.318,0.0
NC,0.331,0.0
NC,0.274,0.067
NC,0.282,0.067
NC,0.379,0.096
NC,0.392,0.096
NC,0.331,0.041
NC,0.31,0.041
NC,0.259,0.069
NC,0.239,0.069
NC,0.219,0.052
NC,0.218,0.052
NC,0.341,0.063
NC,0.334,0.063
NC,0.331,0.095
NC,0.344,0.095
NC,0.315,0.257
NC,0.297,0.257
NC,0.279,0.054
NC,0.283,0.054
NC,0.328,0.082
NC,0.323,0.082
NC,0.334,0.017
NC,0.343,0.017
NC,0.341,0.0
NC,0.343,0.0
NC,0.292,0.094
NC,0.292,0.094
NC,0.342,0.048
NC,0.353,0.048
NC,0.279,0.051
NC,0.286,0.051
NC,0.245,0.024
NC,0.242,0.024
NC,0.3,0.036
NC,0.29,0.036
NC,0.339,0.01
NC,0.358,0.01
NC,0.338,0.033
NC,0.313,0.033
NC,0.255,0.066
NC,0.244,0.066
NC,0.291,0.026
NC,0.304,0.026
NC,0.313,0.003
NC,0.33,0.003
NC,0.285,0.06
NC,0.278,0.06
NC,0.333,0.04
NC,0.319,0.04
NC,0.255,0.079
NC,0.25,0.079
NC,0.307,0.027
NC,0.356,0.027
NC,0.278,0.11
NC,0.275,0.11
NC,0.208,0.114
NC,0.213,0.114
NC,0.302,0.023
NC,0.304,0.023
NC,0.326,0.091
NC,0.345,0.091
NC,0.292,0.033
NC,0.269,0.033
NC,0.319,0.005
NC,0.338,0.005
NC,0.326,0.026
NC,0.333,0.026
NC,0.357,0.032
NC,0.371,0.032
NC,0.23,0.002
NC,0.251,0.002
NC,0.287,0.072
NC,0.298,0.072
NC,0.305,0.05
NC,0.349,0.05
NC,0.407,0.06
NC,0.395,0.06
NC,0.324,0.115
NC,0.342,0.115
NC,0.331,0.088
NC,0.34,0.088
NC,0.3,0.097
NC,0.273,0.097
NC,0.367,0.022
NC,0.364,0.022
NC,0.364,0.076
NC,0.357,0.076
NC,0.266,0.025
NC,0.286,0.025
NC,0.256,0.057
NC,0.314,0.057
NC,0.307,0.034
